11:24:15 708	INFO:Mac(0):
11:24:15 708	00000000: 00 00 00 00 00 00 
11:24:15 708	INFO:WriteXIDBlock start
11:24:15 708	INFO:MakeEccSpareData start
11:24:15 708	INFO:WriteXIDBlock start
11:24:15 708	INFO:Writeing the 1th ID Block，Pos：00000000(SEC)
11:24:15 708	INFO:Writing sector 00000000 ~ 00000015 ... 
11:24:15 723	INFO:Reading sector 00000000 ~ 00000015 ... 
11:24:15 723	INFO:check start
11:24:15 723	INFO:Writing sector 00000016 ~ 00000031 ... 
11:24:15 723	INFO:Reading sector 00000016 ~ 00000031 ... 
11:24:15 723	INFO:check start
11:24:15 723	INFO:Writing sector 00000032 ~ 00000047 ... 
11:24:15 739	INFO:Reading sector 00000032 ~ 00000047 ... 
11:24:15 739	INFO:check start
11:24:15 739	INFO:Writing sector 00000048 ~ 00000063 ... 
11:24:15 739	INFO:Reading sector 00000048 ~ 00000063 ... 
11:24:15 739	INFO:check start
11:24:15 739	INFO:Writing sector 00000064 ~ 00000079 ... 
11:24:15 754	INFO:Reading sector 00000064 ~ 00000079 ... 
11:24:15 754	INFO:check start
11:24:15 754	INFO:Writing sector 00000080 ~ 00000095 ... 
11:24:15 754	INFO:Reading sector 00000080 ~ 00000095 ... 
11:24:15 754	INFO:check start
11:24:15 754	INFO:Writing sector 00000096 ~ 00000111 ... 
11:24:15 770	INFO:Reading sector 00000096 ~ 00000111 ... 
11:24:15 770	INFO:check start
11:24:15 770	INFO:Writing sector 00000112 ~ 00000127 ... 
11:24:15 770	INFO:Reading sector 00000112 ~ 00000127 ... 
11:24:15 770	INFO:check start
11:24:15 770	INFO:Writing sector 00000128 ~ 00000143 ... 
11:24:15 786	INFO:Reading sector 00000128 ~ 00000143 ... 
11:24:15 786	INFO:check start
11:24:15 786	INFO:Writing sector 00000144 ~ 00000159 ... 
11:24:15 786	INFO:Reading sector 00000144 ~ 00000159 ... 
11:24:15 786	INFO:check start
11:24:15 786	INFO:Writing sector 00000160 ~ 00000175 ... 
11:24:15 801	INFO:Reading sector 00000160 ~ 00000175 ... 
11:24:15 801	INFO:check start
11:24:15 801	INFO:Writing sector 00000176 ~ 00000191 ... 
11:24:15 801	INFO:Reading sector 00000176 ~ 00000191 ... 
11:24:15 801	INFO:check start
11:24:15 801	INFO:Writing sector 00000192 ~ 00000207 ... 
11:24:15 817	INFO:Reading sector 00000192 ~ 00000207 ... 
11:24:15 817	INFO:check start
11:24:15 817	INFO:Writing sector 00000208 ~ 00000223 ... 
11:24:15 817	INFO:Reading sector 00000208 ~ 00000223 ... 
11:24:15 817	INFO:check start
11:24:15 817	INFO:Writing sector 00000224 ~ 00000239 ... 
11:24:15 833	INFO:Reading sector 00000224 ~ 00000239 ... 
11:24:15 833	INFO:check start
11:24:15 833	INFO:Writing sector 00000240 ~ 00000247 ... 
11:24:15 833	INFO:Reading sector 00000240 ~ 00000247 ... 
11:24:15 833	INFO:check start
11:24:15 833	INFO:Writeing the 2th ID Block，Pos：00004096(SEC)
11:24:15 833	INFO:Writing sector 00004096 ~ 00004111 ... 
11:24:15 848	INFO:Reading sector 00004096 ~ 00004111 ... 
11:24:15 848	INFO:check start
11:24:15 848	INFO:Writing sector 00004112 ~ 00004127 ... 
11:24:15 848	INFO:Reading sector 00004112 ~ 00004127 ... 
11:24:15 848	INFO:check start
11:24:15 848	INFO:Writing sector 00004128 ~ 00004143 ... 
11:24:15 864	INFO:Reading sector 00004128 ~ 00004143 ... 
11:24:15 864	INFO:check start
11:24:15 864	INFO:Writing sector 00004144 ~ 00004159 ... 
11:24:15 864	INFO:Reading sector 00004144 ~ 00004159 ... 
11:24:15 864	INFO:check start
11:24:15 864	INFO:Writing sector 00004160 ~ 00004175 ... 
11:24:15 879	INFO:Reading sector 00004160 ~ 00004175 ... 
11:24:15 879	INFO:check start
11:24:15 879	INFO:Writing sector 00004176 ~ 00004191 ... 
11:24:15 879	INFO:Reading sector 00004176 ~ 00004191 ... 
11:24:15 879	INFO:check start
11:24:15 879	INFO:Writing sector 00004192 ~ 00004207 ... 
11:24:15 895	INFO:Reading sector 00004192 ~ 00004207 ... 
11:24:15 895	INFO:check start
11:24:15 895	INFO:Writing sector 00004208 ~ 00004223 ... 
11:24:15 895	INFO:Reading sector 00004208 ~ 00004223 ... 
11:24:15 895	INFO:check start
11:24:15 895	INFO:Writing sector 00004224 ~ 00004239 ... 
11:24:15 895	INFO:Reading sector 00004224 ~ 00004239 ... 
11:24:15 911	INFO:check start
11:24:15 911	INFO:Writing sector 00004240 ~ 00004255 ... 
11:24:15 911	INFO:Reading sector 00004240 ~ 00004255 ... 
11:24:15 911	INFO:check start
11:24:15 911	INFO:Writing sector 00004256 ~ 00004271 ... 
11:24:15 911	INFO:Reading sector 00004256 ~ 00004271 ... 
11:24:15 926	INFO:check start
11:24:15 926	INFO:Writing sector 00004272 ~ 00004287 ... 
11:24:15 926	INFO:Reading sector 00004272 ~ 00004287 ... 
11:24:15 926	INFO:check start
11:24:15 926	INFO:Writing sector 00004288 ~ 00004303 ... 
11:24:15 926	INFO:Reading sector 00004288 ~ 00004303 ... 
11:24:15 942	INFO:check start
11:24:15 942	INFO:Writing sector 00004304 ~ 00004319 ... 
11:24:15 942	INFO:Reading sector 00004304 ~ 00004319 ... 
11:24:15 942	INFO:check start
11:24:15 942	INFO:Writing sector 00004320 ~ 00004335 ... 
11:24:15 942	INFO:Reading sector 00004320 ~ 00004335 ... 
11:24:15 958	INFO:check start
11:24:15 958	INFO:Writing sector 00004336 ~ 00004343 ... 
11:24:15 958	INFO:Reading sector 00004336 ~ 00004343 ... 
11:24:15 958	INFO:check start
11:24:15 958	INFO:Writeing the 3th ID Block，Pos：00008192(SEC)
11:24:15 958	INFO:Writing sector 00008192 ~ 00008207 ... 
11:24:15 958	INFO:Reading sector 00008192 ~ 00008207 ... 
11:24:15 958	INFO:check start
11:24:15 958	INFO:Writing sector 00008208 ~ 00008223 ... 
11:24:15 973	INFO:Reading sector 00008208 ~ 00008223 ... 
11:24:15 973	INFO:check start
11:24:15 973	INFO:Writing sector 00008224 ~ 00008239 ... 
11:24:15 973	INFO:Reading sector 00008224 ~ 00008239 ... 
11:24:15 973	INFO:check start
11:24:15 973	INFO:Writing sector 00008240 ~ 00008255 ... 
11:24:15 989	INFO:Reading sector 00008240 ~ 00008255 ... 
11:24:15 989	INFO:check start
11:24:15 989	INFO:Writing sector 00008256 ~ 00008271 ... 
11:24:15 989	INFO:Reading sector 00008256 ~ 00008271 ... 
11:24:15 989	INFO:check start
11:24:15 989	INFO:Writing sector 00008272 ~ 00008287 ... 
11:24:16 004	INFO:Reading sector 00008272 ~ 00008287 ... 
11:24:16 004	INFO:check start
11:24:16 004	INFO:Writing sector 00008288 ~ 00008303 ... 
11:24:16 004	INFO:Reading sector 00008288 ~ 00008303 ... 
11:24:16 004	INFO:check start
11:24:16 004	INFO:Writing sector 00008304 ~ 00008319 ... 
11:24:16 020	INFO:Reading sector 00008304 ~ 00008319 ... 
11:24:16 020	INFO:check start
11:24:16 020	INFO:Writing sector 00008320 ~ 00008335 ... 
11:24:16 020	INFO:Reading sector 00008320 ~ 00008335 ... 
11:24:16 020	INFO:check start
11:24:16 020	INFO:Writing sector 00008336 ~ 00008351 ... 
11:24:16 036	INFO:Reading sector 00008336 ~ 00008351 ... 
11:24:16 036	INFO:check start
11:24:16 036	INFO:Writing sector 00008352 ~ 00008367 ... 
11:24:16 036	INFO:Reading sector 00008352 ~ 00008367 ... 
11:24:16 036	INFO:check start
11:24:16 036	INFO:Writing sector 00008368 ~ 00008383 ... 
11:24:16 051	INFO:Reading sector 00008368 ~ 00008383 ... 
11:24:16 051	INFO:check start
11:24:16 051	INFO:Writing sector 00008384 ~ 00008399 ... 
11:24:16 051	INFO:Reading sector 00008384 ~ 00008399 ... 
11:24:16 051	INFO:check start
11:24:16 051	INFO:Writing sector 00008400 ~ 00008415 ... 
11:24:16 067	INFO:Reading sector 00008400 ~ 00008415 ... 
11:24:16 067	INFO:check start
11:24:16 067	INFO:Writing sector 00008416 ~ 00008431 ... 
11:24:16 067	INFO:Reading sector 00008416 ~ 00008431 ... 
