14:33:36 203	Load Setting ok
14:34:40 500	INFO:Reading sector 00016432 ~ 00016447 ... 
14:34:40 502	INFO:check start
14:34:40 502	INFO:Writing sector 00016448 ~ 00016463 ... 
14:34:40 506	INFO:Reading sector 00016448 ~ 00016463 ... 
14:34:40 507	INFO:check start
14:34:40 507	INFO:Writing sector 00016464 ~ 00016479 ... 
14:34:40 511	INFO:Reading sector 00016464 ~ 00016479 ... 
14:34:40 513	INFO:check start
14:34:40 513	INFO:Writing sector 00016480 ~ 00016495 ... 
14:34:40 517	INFO:Reading sector 00016480 ~ 00016495 ... 
14:34:40 518	INFO:check start
14:34:40 519	INFO:Writing sector 00016496 ~ 00016511 ... 
14:34:40 523	INFO:Reading sector 00016496 ~ 00016511 ... 
14:34:40 524	INFO:check start
14:34:40 525	INFO:Writing sector 00016512 ~ 00016527 ... 
14:34:40 529	INFO:Reading sector 00016512 ~ 00016527 ... 
14:34:40 530	INFO:check start
14:34:40 530	INFO:Writing sector 00016528 ~ 00016543 ... 
14:34:40 535	INFO:Reading sector 00016528 ~ 00016543 ... 
14:34:40 536	INFO:check start
14:34:40 537	INFO:Writing sector 00016544 ~ 00016559 ... 
14:34:40 541	INFO:Reading sector 00016544 ~ 00016559 ... 
14:34:40 542	INFO:check start
14:34:40 542	INFO:Writing sector 00016560 ~ 00016575 ... 
14:34:40 546	INFO:Reading sector 00016560 ~ 00016575 ... 
14:34:40 548	INFO:check start
14:34:40 548	INFO:Writing sector 00016576 ~ 00016591 ... 
14:34:40 552	INFO:Reading sector 00016576 ~ 00016591 ... 
14:34:40 554	INFO:check start
14:34:40 554	INFO:Writing sector 00016592 ~ 00016607 ... 
14:34:40 558	INFO:Reading sector 00016592 ~ 00016607 ... 
14:34:40 559	INFO:check start
14:34:40 559	INFO:Writing sector 00016608 ~ 00016623 ... 
14:34:40 563	INFO:Reading sector 00016608 ~ 00016623 ... 
14:34:40 564	INFO:check start
14:34:40 565	INFO:Writing sector 00016624 ~ 00016631 ... 
14:34:40 567	INFO:Reading sector 00016624 ~ 00016631 ... 
14:34:40 568	INFO:check start
14:34:40 568	INFO:start to erase system disk
14:34:40 569	INFO:写入ID_BLOCK成功
14:34:40 571	INFO:开始重启设备
14:34:40 575	INFO:重启设备成功
14:34:40 577	INFO:LoaderThread Finish
14:34:42 234	Image Thread Path(\\?\USB#VID_2207&PID_310B#6&90B4D50&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=13284
14:34:42 234	INFO:开始测试设备
14:34:43 242	INFO:测试设备成功
14:34:43 252	INFO:开始下载文件
14:34:43 266	INFO: Start to download files to flash,backup offset=0x20000
14:34:43 271	INFO:开始下载文件到Flash
14:34:43 323	Info:RKA_File_Download start,file=misc,offset=0x2000
14:34:43 340	Info:RKA_File_Download start,file=kernel,offset=0x4000
14:34:44 476	Info:RKA_File_Download start,file=boot,offset=0x8000
14:34:44 799	Info:RKA_File_Download start,file=recovery,offset=0x10000
14:34:48 648	Info:RKA_File_Download start,file=system,offset=0x282000
14:36:14 226	INFO: Download files to flash finished,Total(395993696)B
14:36:14 226	INFO: Start to check data
14:36:14 229	INFO:开始校验下载数据
14:36:14 276	Info:RKA_File_Check start,file=misc,offset=0x2000
14:36:14 297	Info:RKA_File_Check start,file=kernel,offset=0x4000
14:36:14 869	Info:RKA_File_Check start,file=boot,offset=0x8000
14:36:15 062	Info:RKA_File_Check start,file=recovery,offset=0x10000
14:36:16 883	Info:RKA_File_Check start,file=system,offset=0x282000
14:36:44 997	INFO:下载文件成功,耗时(121734MS)
14:36:45 007	INFO:执行成功
19:39:15 323	Loader Device Path(\\?\USB#VID_2207&PID_310B#6&90B4D50&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=23468
19:39:15 323	INFO:开始测试设备
19:39:15 324	INFO:执行开始
19:39:16 340	INFO:测试设备成功
19:39:16 349	INFO:开始写入ID_BLOCK
19:39:16 357	Flash Chip Information:
19:39:16 357	NO		SIZE(MB)	Manufacturer
19:39:16 358	----------------------------------------------
19:39:16 359	0		4096MB	HYNIX
19:39:16 359	----------------------------------------------
19:39:16 360	INFO:BuildFlashStateMap start
19:39:16 361	INFO: FindAllIDB start
19:39:16 365	INFO:UpdateIDBData start
19:39:16 388	INFO:Serial Number(0):
19:39:16 389	00000000: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
19:39:16 389	00000010: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
19:39:16 390	INFO:UID(0):
19:39:16 390	00000000: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
19:39:16 390	00000010: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
19:39:16 391	INFO:BlueTooth(0):
19:39:16 391	00000000: 00 00 00 00 00 00 
19:39:16 391	INFO:Mac(0):
19:39:16 392	00000000: 00 00 00 00 00 00 
19:39:16 392	INFO:WriteXIDBlock start
19:39:16 393	INFO:MakeEccSpareData start
19:39:16 405	INFO:WriteXIDBlock start
19:39:16 407	INFO:Writeing the 1th ID Block，Pos：00000000(SEC)
19:39:16 408	INFO:Writing sector 00000000 ~ 00000015 ... 
19:39:16 412	INFO:Reading sector 00000000 ~ 00000015 ... 
19:39:16 414	INFO:check start
19:39:16 414	INFO:Writing sector 00000016 ~ 00000031 ... 
19:39:16 419	INFO:Reading sector 00000016 ~ 00000031 ... 
19:39:16 421	INFO:check start
19:39:16 421	INFO:Writing sector 00000032 ~ 00000047 ... 
19:39:16 425	INFO:Reading sector 00000032 ~ 00000047 ... 
19:39:16 427	INFO:check start
19:39:16 427	INFO:Writing sector 00000048 ~ 00000063 ... 
19:39:16 431	INFO:Reading sector 00000048 ~ 00000063 ... 
19:39:16 433	INFO:check start
19:39:16 433	INFO:Writing sector 00000064 ~ 00000079 ... 
19:39:16 438	INFO:Reading sector 00000064 ~ 00000079 ... 
19:39:16 439	INFO:check start
19:39:16 440	INFO:Writing sector 00000080 ~ 00000095 ... 
19:39:16 444	INFO:Reading sector 00000080 ~ 00000095 ... 
19:39:16 446	INFO:check start
19:39:16 446	INFO:Writing sector 00000096 ~ 00000111 ... 
19:39:16 450	INFO:Reading sector 00000096 ~ 00000111 ... 
19:39:16 452	INFO:check start
19:39:16 452	INFO:Writing sector 00000112 ~ 00000127 ... 
19:39:16 456	INFO:Reading sector 00000112 ~ 00000127 ... 
19:39:16 458	INFO:check start
19:39:16 458	INFO:Writing sector 00000128 ~ 00000143 ... 
19:39:16 462	INFO:Reading sector 00000128 ~ 00000143 ... 
19:39:16 464	INFO:check start
19:39:16 464	INFO:Writing sector 00000144 ~ 00000159 ... 
19:39:16 468	INFO:Reading sector 00000144 ~ 00000159 ... 
19:39:16 470	INFO:check start
19:39:16 471	INFO:Writing sector 00000160 ~ 00000175 ... 
19:39:16 475	INFO:Reading sector 00000160 ~ 00000175 ... 
19:39:16 477	INFO:check start
19:39:16 477	INFO:Writing sector 00000176 ~ 00000191 ... 
19:39:16 481	INFO:Reading sector 00000176 ~ 00000191 ... 
19:39:16 483	INFO:check start
19:39:16 483	INFO:Writing sector 00000192 ~ 00000207 ... 
19:39:16 487	INFO:Reading sector 00000192 ~ 00000207 ... 
19:39:16 489	INFO:check start
19:39:16 489	INFO:Writing sector 00000208 ~ 00000223 ... 
19:39:16 494	INFO:Reading sector 00000208 ~ 00000223 ... 
19:39:16 495	INFO:check start
19:39:16 495	INFO:Writing sector 00000224 ~ 00000239 ... 
19:39:16 499	INFO:Reading sector 00000224 ~ 00000239 ... 
19:39:16 501	INFO:check start
19:39:16 501	INFO:Writing sector 00000240 ~ 00000247 ... 
19:39:16 504	INFO:Reading sector 00000240 ~ 00000247 ... 
